,label,score,trial
0,1,-0.8520660996437073,id10270/x6uYqmx31kE/00001.wav id10270/8jEAjG6SegY/00008.wav
1,0,-1.3974244594573975,id10270/x6uYqmx31kE/00001.wav id10300/ize_eiCFEg0/00003.wav
2,1,-0.7138777375221252,id10270/x6uYqmx31kE/00001.wav id10270/GWXujl-xAVM/00017.wav
3,0,-1.3163120746612549,id10270/x6uYqmx31kE/00001.wav id10273/0OCW1HUxZyg/00001.wav
4,1,-0.7482856512069702,id10270/x6uYqmx31kE/00001.wav id10270/8jEAjG6SegY/00022.wav
5,0,-1.265527606010437,id10270/x6uYqmx31kE/00001.wav id10284/Uzxv7Axh3Z8/00001.wav
6,1,-0.6781774163246155,id10270/x6uYqmx31kE/00001.wav id10270/GWXujl-xAVM/00033.wav
7,0,-1.2329883575439453,id10270/x6uYqmx31kE/00001.wav id10284/7yx9A0yzLYk/00029.wav
8,1,-0.8520326018333435,id10270/x6uYqmx31kE/00002.wav id10270/5r0dWxy17C8/00026.wav
9,0,-1.0983411073684692,id10270/x6uYqmx31kE/00002.wav id10285/m-uILToQ9ss/00009.wav
10,1,-0.7447596192359924,id10270/x6uYqmx31kE/00002.wav id10270/GWXujl-xAVM/00035.wav
11,0,-1.0719184875488281,id10270/x6uYqmx31kE/00002.wav id10306/uzt36PBzT2w/00001.wav
12,1,-0.7366312146186829,id10270/x6uYqmx31kE/00002.wav id10270/GWXujl-xAVM/00038.wav
13,0,-1.0401077270507812,id10270/x6uYqmx31kE/00002.wav id10307/kp_GCjLq4qA/00004.wav
14,1,-0.6856846809387207,id10270/x6uYqmx31kE/00002.wav id10270/GWXujl-xAVM/00033.wav
15,0,-1.367729902267456,id10270/x6uYqmx31kE/00002.wav id10275/Mdk1SXywHck/00024.wav
16,1,-0.7452220916748047,id10270/x6uYqmx31kE/00003.wav id10270/GWXujl-xAVM/00038.wav
17,0,-1.3951613903045654,id10270/x6uYqmx31kE/00003.wav id10293/TwfthltapLg/00004.wav
18,1,-0.9200385212898254,id10270/x6uYqmx31kE/00003.wav id10270/5r0dWxy17C8/00004.wav
19,0,-1.2112641334533691,id10270/x6uYqmx31kE/00003.wav id10273/8cfyJEV7hP8/00004.wav
20,1,-0.8021823167800903,id10270/x6uYqmx31kE/00003.wav id10270/8jEAjG6SegY/00038.wav
21,0,-1.3862956762313843,id10270/x6uYqmx31kE/00003.wav id10300/SQzWyPhRqmk/00012.wav
22,1,-0.9084560871124268,id10270/x6uYqmx31kE/00003.wav id10270/5r0dWxy17C8/00010.wav
23,0,-1.3610212802886963,id10270/x6uYqmx31kE/00003.wav id10305/G50_Ix7IVjU/00001.wav
24,1,-0.6930880546569824,id10270/x6uYqmx31kE/00004.wav id10270/GWXujl-xAVM/00010.wav
25,0,-1.0101468563079834,id10270/x6uYqmx31kE/00004.wav id10306/2SaEbN8hYz4/00011.wav
26,1,-0.7152467966079712,id10270/x6uYqmx31kE/00004.wav id10270/GWXujl-xAVM/00045.wav
27,0,-1.0733891725540161,id10270/x6uYqmx31kE/00004.wav id10280/NXjT3732Ekg/00001.wav
28,1,-0.8430814146995544,id10270/x6uYqmx31kE/00004.wav id10270/OhfKF8FSq3Y/00003.wav
29,0,-1.3397108316421509,id10270/x6uYqmx31kE/00004.wav id10271/djK87iSSKQo/00001.wav
30,1,-0.7489203810691833,id10270/x6uYqmx31kE/00004.wav id10270/GWXujl-xAVM/00007.wav
